model,dataset_size,test_size,param_id,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,accuracy,precision,recall,f1,roc_auc
XGBoost,500,0.3,64,1.0,0.1,6,500,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9911111111111112
XGBoost,500,0.3,65,1.0,0.1,6,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9902222222222222
XGBoost,500,0.3,66,1.0,0.1,8,100,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9904
XGBoost,500,0.3,67,1.0,0.1,8,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9866666666666667
XGBoost,500,0.3,68,1.0,0.1,8,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9907555555555556
XGBoost,500,0.3,69,1.0,0.1,8,300,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9893333333333334
XGBoost,500,0.3,70,1.0,0.1,8,500,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9911111111111112
XGBoost,500,0.3,71,1.0,0.1,8,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9902222222222222
XGBoost,1000,0.2,0,0.8,0.05,4,100,0.8,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9962
XGBoost,1000,0.2,1,0.8,0.05,4,100,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9952000000000001
XGBoost,1000,0.2,2,0.8,0.05,4,300,0.8,0.98,0.98,0.98,0.98,0.9967999999999999
XGBoost,1000,0.2,3,0.8,0.05,4,300,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9964999999999999
XGBoost,1000,0.2,4,0.8,0.05,4,500,0.8,0.98,0.98,0.98,0.98,0.9972
XGBoost,1000,0.2,5,0.8,0.05,4,500,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9965999999999999
XGBoost,1000,0.2,6,0.8,0.05,6,100,0.8,0.985,0.98989898989899,0.98,0.9849246231155779,0.9962
XGBoost,1000,0.2,7,0.8,0.05,6,100,1.0,0.985,0.98989898989899,0.98,0.9849246231155779,0.9952
XGBoost,1000,0.2,8,0.8,0.05,6,300,0.8,0.985,0.98989898989899,0.98,0.9849246231155779,0.9969
XGBoost,1000,0.2,9,0.8,0.05,6,300,1.0,0.985,0.98989898989899,0.98,0.9849246231155779,0.9968
XGBoost,1000,0.2,10,0.8,0.05,6,500,0.8,0.98,0.98,0.98,0.98,0.9969
XGBoost,1000,0.2,11,0.8,0.05,6,500,1.0,0.98,0.98,0.98,0.98,0.9968
XGBoost,1000,0.2,12,0.8,0.05,8,100,0.8,0.985,0.98989898989899,0.98,0.9849246231155779,0.9963
XGBoost,1000,0.2,13,0.8,0.05,8,100,1.0,0.985,0.98989898989899,0.98,0.9849246231155779,0.9957
XGBoost,1000,0.2,14,0.8,0.05,8,300,0.8,0.985,0.98989898989899,0.98,0.9849246231155779,0.9968
XGBoost,1000,0.2,15,0.8,0.05,8,300,1.0,0.985,0.98989898989899,0.98,0.9849246231155779,0.9969000000000001
XGBoost,1000,0.2,16,0.8,0.05,8,500,0.8,0.985,0.98989898989899,0.98,0.9849246231155779,0.997
XGBoost,1000,0.2,17,0.8,0.05,8,500,1.0,0.985,0.98989898989899,0.98,0.9849246231155779,0.9967
XGBoost,1000,0.2,18,0.8,0.1,4,100,0.8,0.985,0.98989898989899,0.98,0.9849246231155779,0.9966
XGBoost,1000,0.2,19,0.8,0.1,4,100,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9971
XGBoost,1000,0.2,20,0.8,0.1,4,300,0.8,0.98,0.98,0.98,0.98,0.9964
XGBoost,1000,0.2,21,0.8,0.1,4,300,1.0,0.975,0.9797979797979798,0.97,0.9748743718592965,0.9968999999999999
XGBoost,1000,0.2,22,0.8,0.1,4,500,0.8,0.975,0.9797979797979798,0.97,0.9748743718592965,0.9963
XGBoost,1000,0.2,23,0.8,0.1,4,500,1.0,0.975,0.9797979797979798,0.97,0.9748743718592965,0.9966
XGBoost,1000,0.2,24,0.8,0.1,6,100,0.8,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9964
XGBoost,1000,0.2,25,0.8,0.1,6,100,1.0,0.985,0.98989898989899,0.98,0.9849246231155779,0.9973
XGBoost,1000,0.2,26,0.8,0.1,6,300,0.8,0.98,0.98,0.98,0.98,0.9964999999999999
XGBoost,1000,0.2,27,0.8,0.1,6,300,1.0,0.98,0.98,0.98,0.98,0.9972
XGBoost,1000,0.2,28,0.8,0.1,6,500,0.8,0.975,0.9797979797979798,0.97,0.9748743718592965,0.9968
XGBoost,1000,0.2,29,0.8,0.1,6,500,1.0,0.98,0.98,0.98,0.98,0.9971
XGBoost,1000,0.2,30,0.8,0.1,8,100,0.8,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9967
XGBoost,1000,0.2,31,0.8,0.1,8,100,1.0,0.985,0.98989898989899,0.98,0.9849246231155779,0.9967
XGBoost,1000,0.2,32,0.8,0.1,8,300,0.8,0.97,0.9795918367346939,0.96,0.9696969696969697,0.9968
XGBoost,1000,0.2,33,0.8,0.1,8,300,1.0,0.98,0.98,0.98,0.98,0.997
XGBoost,1000,0.2,34,0.8,0.1,8,500,0.8,0.975,0.9797979797979798,0.97,0.9748743718592965,0.997
XGBoost,1000,0.2,35,0.8,0.1,8,500,1.0,0.98,0.98,0.98,0.98,0.9966
XGBoost,1000,0.2,36,1.0,0.05,4,100,0.8,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9953
XGBoost,1000,0.2,37,1.0,0.05,4,100,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9958
XGBoost,1000,0.2,38,1.0,0.05,4,300,0.8,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9962
XGBoost,1000,0.2,39,1.0,0.05,4,300,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9969000000000001
XGBoost,1000,0.2,40,1.0,0.05,4,500,0.8,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9962
XGBoost,1000,0.2,41,1.0,0.05,4,500,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9968000000000001
